overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00778,anglian,2025-03-10T14:16:11Z,2025-03-10T14:16:11Z,feed,2026-09-17T02:08:37Z,2026-09-17T11:32:49Z
anglian:AWS00778,anglian,2025-03-10T14:16:11Z,2025-03-10T14:16:11Z,feed,2026-09-17T22:13:42Z,2026-09-17T22:57:48Z
anglian:AWS00778,anglian,2025-03-10T14:16:11Z,2025-03-10T14:16:11Z,feed,2026-09-18T14:37:46Z,2026-09-18T14:47:57Z
anglian:AWS00778,anglian,2025-03-10T14:16:11Z,2025-03-10T14:16:11Z,feed,2026-09-18T23:14:14Z,2026-09-18T23:34:35Z
anglian:AWS00778,anglian,2025-03-10T14:16:11Z,2025-03-10T14:16:11Z,feed,2026-09-19T05:30:14Z,2026-09-19T05:50:37Z
anglian:AWS01392,anglian,2025-03-11T11:56:59Z,,,2026-09-22T03:20:25Z,2026-09-22T03:20:25Z
