overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00093,anglian,2024-11-25T00:02:55Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00265,anglian,2024-11-20T14:24:04Z,,,2026-09-24T02:50:24Z,2026-09-24T02:50:24Z
united-utilities:UUP02267,united-utilities,2024-11-19T12:44:46Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
