overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00020,anglian,2026-08-27T10:16:02Z,2026-08-27T10:16:02Z,feed,2026-09-19T05:09:50Z,2026-09-19T13:20:07Z
anglian:AWS00022,anglian,2026-08-27T08:45:57Z,2026-08-27T08:45:57Z,feed,2026-09-22T08:10:26Z,2026-09-22T08:30:30Z
anglian:AWS00022,anglian,2026-08-27T08:45:57Z,2026-08-27T08:45:57Z,feed,2026-09-22T13:10:25Z,2026-09-22T13:30:35Z
anglian:AWS00062,anglian,2026-08-31T15:09:17Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00113,anglian,2026-08-04T09:28:33Z,2026-08-04T09:28:33Z,feed,2026-09-17T13:51:58Z,2026-09-17T15:38:08Z
anglian:AWS00113,anglian,2026-08-04T09:28:33Z,2026-08-04T09:28:33Z,feed,2026-09-19T19:11:25Z,2026-09-19T19:31:47Z
anglian:AWS00113,anglian,2026-08-04T09:28:33Z,2026-08-04T09:28:33Z,feed,2026-09-21T10:30:29Z,2026-09-21T10:50:19Z
anglian:AWS00123,anglian,2026-08-30T22:15:28Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00199,anglian,2026-08-27T14:07:38Z,2026-08-27T14:07:38Z,feed,2026-09-18T10:30:40Z,2026-09-18T14:37:46Z
anglian:AWS00278,anglian,2026-08-27T22:30:50Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00389,anglian,2026-08-29T15:20:30Z,2026-08-29T15:20:30Z,feed,2026-09-19T17:15:09Z,2026-09-19T18:51:03Z
anglian:AWS00407,anglian,2026-08-30T03:16:08Z,2026-08-30T03:16:08Z,feed,2026-09-22T08:30:30Z,2026-09-22T08:50:24Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-17T23:28:15Z,2026-09-17T23:48:34Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-19T09:29:34Z,2026-09-19T09:49:55Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-19T13:50:38Z,2026-09-19T14:10:57Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-19T21:16:11Z,2026-09-19T21:26:22Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-20T22:32:03Z,2026-09-20T22:52:22Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T03:10:20Z,2026-09-21T03:30:27Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T04:10:25Z,2026-09-21T04:30:30Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T05:30:21Z,2026-09-21T05:50:25Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T11:10:23Z,2026-09-21T11:30:22Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T12:50:20Z,2026-09-21T13:10:21Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-21T20:30:29Z,2026-09-21T20:50:20Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-22T08:20:26Z,2026-09-22T08:30:30Z
anglian:AWS00452,anglian,2026-08-27T20:46:09Z,2026-08-27T20:46:09Z,feed,2026-09-22T13:10:25Z,2026-09-22T13:30:35Z
anglian:AWS00501,anglian,2026-08-27T12:00:16Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS00505,anglian,2026-08-30T15:00:59Z,2026-08-30T15:00:59Z,feed,2026-09-20T12:11:07Z,2026-09-20T12:31:25Z
anglian:AWS00505,anglian,2026-08-30T15:00:59Z,2026-08-30T15:00:59Z,feed,2026-09-20T20:47:37Z,2026-09-20T21:07:57Z
