overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS01061,anglian,2024-04-10T07:41:30Z,2024-04-10T07:41:30Z,feed,2026-09-22T18:30:24Z,2026-09-23T17:50:25Z
anglian:AWS01061,anglian,2024-04-10T07:41:30Z,,,2026-09-25T09:30:28Z,2026-09-25T09:30:28Z
