overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-17T19:14:51Z,2026-09-17T22:13:42Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T05:53:28Z,2026-09-18T06:13:51Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T10:51:02Z,2026-09-18T15:08:15Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T15:28:34Z,2026-09-18T18:12:18Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T20:31:36Z,2026-09-18T20:51:53Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T22:43:41Z,2026-09-18T23:14:14Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-18T23:34:35Z,2026-09-19T00:51:12Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-19T01:11:32Z,2026-09-19T05:50:37Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-19T09:29:34Z,2026-09-19T09:49:55Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-19T13:20:07Z,2026-09-19T13:50:38Z
anglian:AWS00143,anglian,2026-04-16T06:46:10Z,2026-04-16T06:46:10Z,feed,2026-09-19T16:34:28Z,2026-09-19T17:25:19Z
anglian:AWS00799,anglian,2026-04-28T11:02:06Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
northumbrian:NWL00513,northumbrian,2026-04-29T09:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
south-west:SBB00728,south-west,2026-04-20T11:00:55Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP00261,united-utilities,2026-04-24T07:48:27Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
