overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00169,anglian,2026-03-15T16:07:48Z,2026-03-15T16:07:48Z,feed,2026-09-26T01:50:21Z,2026-09-26T03:10:23Z
anglian:AWS00169,anglian,2026-03-15T16:07:48Z,2026-03-15T16:07:48Z,feed,2026-09-26T04:10:22Z,2026-09-26T04:30:27Z
anglian:AWS00169,anglian,2026-03-15T16:07:48Z,2026-03-15T16:07:48Z,feed,2026-09-26T04:50:23Z,2026-09-26T05:30:28Z
anglian:AWS00253,anglian,2026-03-31T23:16:03Z,2026-03-31T23:16:03Z,feed,2026-09-22T08:30:30Z,2026-09-22T08:50:24Z
anglian:AWS00253,anglian,2026-03-31T23:16:03Z,2026-03-31T23:16:03Z,feed,2026-09-24T21:30:26Z,2026-09-24T21:50:24Z
anglian:AWS00297,anglian,2026-03-02T09:31:11Z,2026-03-02T09:31:11Z,feed,2026-09-22T08:30:30Z,2026-09-22T08:50:24Z
anglian:AWS00560,anglian,2026-03-24T22:45:10Z,2026-03-24T22:45:10Z,feed,2026-09-24T09:30:26Z,2026-09-24T09:50:29Z
anglian:AWS00691,anglian,2026-03-24T21:31:23Z,2026-03-24T21:31:23Z,feed,2026-09-24T07:30:28Z,2026-09-24T11:10:29Z
anglian:AWS01474,anglian,2026-03-19T08:15:57Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
thames:TWL00788,thames,2026-03-18T12:12:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
