overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00522,anglian,2025-04-14T09:30:37Z,2025-04-14T09:30:37Z,feed,2026-09-22T07:00:30Z,2026-09-22T07:10:32Z
anglian:AWS00522,anglian,2025-04-14T09:30:37Z,2025-04-14T09:30:37Z,feed,2026-09-25T08:30:29Z,2026-09-25T08:50:28Z
