overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS01416,anglian,2025-06-13T13:45:18Z,,,2026-09-22T07:40:24Z,2026-09-22T07:40:24Z
united-utilities:UUP02185,united-utilities,2025-06-25T13:13:45Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
