overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00065,anglian,2025-11-22T20:00:12Z,2025-11-22T20:00:12Z,feed,2026-09-23T00:30:23Z,2026-09-23T00:50:21Z
anglian:AWS00281,anglian,2025-11-14T04:00:07Z,2025-11-14T04:00:07Z,feed,2026-09-23T07:30:24Z,2026-09-23T08:10:22Z
anglian:AWS00281,anglian,2025-11-14T04:00:07Z,2025-11-14T04:00:07Z,feed,2026-09-25T12:30:26Z,2026-09-25T12:50:23Z
anglian:AWS00281,anglian,2025-11-14T04:00:07Z,2025-11-14T04:00:07Z,feed,2026-09-25T13:10:23Z,2026-09-25T13:30:31Z
anglian:AWS00281,anglian,2025-11-14T04:00:07Z,2025-11-14T04:00:07Z,feed,2026-09-25T19:26:58Z,2026-09-25T19:50:24Z
anglian:AWS00281,anglian,2025-11-14T04:00:07Z,2025-11-14T04:00:07Z,feed,2026-09-25T20:10:25Z,2026-09-25T20:50:33Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-18T20:51:53Z,2026-09-18T21:12:16Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-20T15:34:48Z,2026-09-20T17:55:21Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-21T06:50:21Z,2026-09-21T07:10:26Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-24T15:30:27Z,2026-09-24T15:50:28Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-24T20:10:25Z,2026-09-24T20:30:32Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-24T21:50:24Z,2026-09-24T22:10:22Z
anglian:AWS00356,anglian,2025-11-14T20:05:17Z,2025-11-14T20:05:17Z,feed,2026-09-25T16:50:22Z,2026-09-25T17:10:24Z
anglian:AWS00683,anglian,2025-11-14T11:45:24Z,2025-11-14T11:45:24Z,feed,2026-09-22T11:30:29Z,2026-09-22T11:50:23Z
anglian:AWS00683,anglian,2025-11-14T11:45:24Z,2025-11-14T11:45:24Z,feed,2026-09-24T05:50:24Z,2026-09-24T06:20:23Z
anglian:AWS00686,anglian,2025-11-14T11:45:24Z,2025-11-14T11:45:24Z,feed,2026-09-22T11:30:29Z,2026-09-22T11:50:23Z
anglian:AWS00686,anglian,2025-11-14T11:45:24Z,2025-11-14T11:45:24Z,feed,2026-09-24T05:50:24Z,2026-09-24T06:20:23Z
anglian:AWS00902,anglian,2025-11-14T14:29:53Z,2025-11-14T14:29:53Z,feed,2026-09-25T17:20:27Z,2026-09-25T17:30:27Z
anglian:AWS01290,anglian,2025-11-14T20:00:15Z,2025-11-14T20:00:15Z,feed,2026-09-22T18:20:26Z,2026-09-22T18:30:24Z
anglian:AWS01301,anglian,2025-11-14T14:45:19Z,2025-11-14T14:45:19Z,feed,2026-09-24T21:30:26Z,2026-09-24T21:50:24Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-17T02:08:37Z,2026-09-17T11:32:49Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-17T13:51:58Z,2026-09-17T15:38:08Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-17T22:57:48Z,2026-09-17T23:38:24Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-18T01:59:07Z,2026-09-18T05:53:28Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-19T00:51:12Z,2026-09-19T01:21:43Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-19T05:09:50Z,2026-09-19T05:20:03Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-19T13:50:38Z,2026-09-19T16:34:28Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-19T16:54:50Z,2026-09-19T18:51:03Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-20T22:52:22Z,2026-09-20T23:12:39Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-21T01:54:06Z,2026-09-21T02:14:26Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-21T04:50:23Z,2026-09-21T05:19:32Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-21T16:40:32Z,2026-09-21T17:20:22Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-21T19:30:27Z,2026-09-21T20:20:25Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-21T22:30:27Z,2026-09-21T23:30:28Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-22T04:30:27Z,2026-09-22T05:30:29Z
anglian:AWS01323,anglian,2025-11-03T12:02:40Z,2025-11-03T12:02:40Z,feed,2026-09-22T08:30:30Z,2026-09-22T09:20:27Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-17T15:38:08Z,2026-09-17T19:14:51Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-18T05:53:28Z,2026-09-18T06:13:51Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-19T23:33:15Z,2026-09-20T01:14:38Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-20T01:35:03Z,2026-09-20T01:55:24Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-20T15:34:48Z,2026-09-20T17:55:21Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-20T22:32:03Z,2026-09-20T23:12:39Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-21T00:38:42Z,2026-09-21T00:59:03Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-21T05:30:21Z,2026-09-21T05:50:25Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-21T17:20:22Z,2026-09-21T18:00:31Z
anglian:AWS01328,anglian,2025-11-15T11:36:02Z,2025-11-15T11:36:02Z,feed,2026-09-21T21:20:30Z,2026-09-21T21:30:23Z
