overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00241,anglian,2025-10-29T17:30:58Z,2025-10-29T17:30:58Z,feed,2026-09-23T03:30:28Z,2026-09-23T03:50:21Z
anglian:AWS00241,anglian,2025-10-29T17:30:58Z,,,2026-09-23T04:30:24Z,2026-09-23T04:30:24Z
anglian:AWS00264,anglian,2025-10-20T14:00:36Z,2025-10-20T14:00:36Z,feed,2026-09-22T08:30:30Z,2026-09-22T08:50:24Z
anglian:AWS00551,anglian,2025-10-21T10:15:59Z,2025-10-21T10:15:59Z,feed,2026-09-23T00:30:23Z,2026-09-23T00:50:21Z
