overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-17T23:28:15Z,2026-09-17T23:48:34Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-19T22:07:06Z,2026-09-19T23:12:50Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T06:10:22Z,2026-09-21T06:30:28Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T08:50:23Z,2026-09-21T09:10:24Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T10:11:04Z,2026-09-21T10:30:29Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T11:10:23Z,2026-09-21T11:30:22Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T13:10:21Z,2026-09-21T14:30:33Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T15:10:24Z,2026-09-21T15:50:25Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T16:10:23Z,2026-09-21T16:30:30Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T17:50:20Z,2026-09-21T18:10:38Z
anglian:AWS00431,anglian,2026-05-05T12:15:41Z,2026-05-05T12:15:41Z,feed,2026-09-21T20:10:21Z,2026-09-21T20:30:29Z
anglian:AWS00574,anglian,2026-05-27T11:00:21Z,2026-05-27T11:00:21Z,feed,2026-09-21T07:00:25Z,2026-09-21T07:20:21Z
anglian:AWS01233,anglian,2026-05-22T08:58:23Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-17T15:38:08Z,2026-09-17T19:14:51Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-18T05:53:28Z,2026-09-18T06:13:51Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-19T05:40:26Z,2026-09-19T06:00:49Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-19T23:33:15Z,2026-09-20T01:14:38Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-20T01:35:03Z,2026-09-20T01:55:24Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-20T15:34:48Z,2026-09-20T17:55:21Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-20T22:32:03Z,2026-09-20T23:22:48Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T00:38:42Z,2026-09-21T00:59:03Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T03:30:27Z,2026-09-21T04:00:29Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T05:30:21Z,2026-09-21T06:00:27Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T13:20:20Z,2026-09-21T13:40:26Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T15:30:28Z,2026-09-21T15:50:25Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T17:20:22Z,2026-09-21T18:00:31Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T19:20:30Z,2026-09-21T19:30:27Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T21:20:30Z,2026-09-21T21:30:23Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-21T23:20:22Z,2026-09-21T23:38:14Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-22T01:20:24Z,2026-09-22T01:40:23Z
anglian:AWS01499,anglian,2026-05-21T09:34:32Z,2026-05-21T09:34:32Z,feed,2026-09-22T03:20:25Z,2026-09-22T03:40:29Z
thames:TWL00474,thames,2026-05-08T05:00:00Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP00858,united-utilities,2026-05-20T07:10:33Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
united-utilities:UUP01926,united-utilities,2026-05-17T23:00:23Z,,,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z
