overflow_key,company_slug,offline_start_utc,offline_end_utc,offline_end_source,first_observed_utc,last_observed_utc
anglian:AWS00599,anglian,2024-10-01T13:45:18Z,,,2026-09-23T04:50:26Z,2026-09-23T04:50:26Z
anglian:AWS01255,anglian,2024-10-12T11:46:03Z,2024-10-12T11:46:03Z,feed,2026-09-19T00:51:12Z,2026-09-19T01:21:43Z
anglian:AWS01255,anglian,2024-10-12T11:46:03Z,2024-10-12T11:46:03Z,feed,2026-09-19T13:30:17Z,2026-09-19T13:50:38Z
anglian:AWS01255,anglian,2024-10-12T11:46:03Z,2024-10-12T11:46:03Z,feed,2026-09-20T12:31:25Z,2026-09-20T14:54:15Z
anglian:AWS01255,anglian,2024-10-12T11:46:03Z,2024-10-12T11:46:03Z,feed,2026-09-22T11:30:29Z,2026-09-22T11:50:23Z
anglian:AWS01255,anglian,2024-10-12T11:46:03Z,,,2026-09-24T12:50:30Z,2026-09-24T12:50:30Z
