event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00041:1772385635000,anglian:AWS00041,anglian,2026-03-01T17:20:35Z,2026-03-01T21:36:00Z,255,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00106:1773363622000,anglian:AWS00106,anglian,2026-03-13T01:00:22Z,2026-03-13T01:24:58Z,25,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00169:1773590859000,anglian:AWS00169,anglian,2026-03-15T16:07:39Z,2026-03-15T16:07:39Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00172:1773830401000,anglian:AWS00172,anglian,2026-03-18T10:40:01Z,2026-03-18T10:49:08Z,9,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00225:1773358213000,anglian:AWS00225,anglian,2026-03-12T23:30:13Z,2026-03-12T23:34:56Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00228:1774115517000,anglian:AWS00228,anglian,2026-03-21T17:51:57Z,2026-03-21T18:02:25Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00253:1774997646000,anglian:AWS00253,anglian,2026-03-31T22:54:06Z,2026-03-31T23:07:31Z,13,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00290:1773360901000,anglian:AWS00290,anglian,2026-03-13T00:15:01Z,2026-03-13T03:15:01Z,180,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00297:1772442667000,anglian:AWS00297,anglian,2026-03-02T09:11:07Z,2026-03-02T09:16:45Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00514:1772802257000,anglian:AWS00514,anglian,2026-03-06T13:04:17Z,2026-03-06T13:19:26Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00536:1774179685000,anglian:AWS00536,anglian,2026-03-22T11:41:25Z,2026-03-22T12:09:36Z,28,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00558:1773357111000,anglian:AWS00558,anglian,2026-03-12T23:11:51Z,2026-03-12T23:26:05Z,14,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00560:1774391971000,anglian:AWS00560,anglian,2026-03-24T22:39:31Z,2026-03-24T22:39:42Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00575:1773139725000,anglian:AWS00575,anglian,2026-03-10T10:48:45Z,2026-03-10T10:48:45Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00582:1774462500000,anglian:AWS00582,anglian,2026-03-25T18:15:00Z,2026-03-25T19:00:00Z,45,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00589:1774866168000,anglian:AWS00589,anglian,2026-03-30T10:22:48Z,2026-03-30T10:26:03Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00592:1772524396000,anglian:AWS00592,anglian,2026-03-03T07:53:16Z,2026-03-04T03:00:08Z,1147,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00606:1773658823000,anglian:AWS00606,anglian,2026-03-16T11:00:23Z,2026-03-16T14:40:38Z,220,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00638:1773404272000,anglian:AWS00638,anglian,2026-03-13T12:17:52Z,2026-03-13T12:20:40Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00659:1773397471000,anglian:AWS00659,anglian,2026-03-13T10:24:31Z,2026-03-13T10:24:32Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00665:1773362293000,anglian:AWS00665,anglian,2026-03-13T00:38:13Z,2026-03-13T07:18:08Z,400,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00671:1773358201000,anglian:AWS00671,anglian,2026-03-12T23:30:01Z,2026-03-12T23:45:01Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00691:1774387051000,anglian:AWS00691,anglian,2026-03-24T21:17:31Z,2026-03-24T21:21:59Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00698:1774604455000,anglian:AWS00698,anglian,2026-03-27T09:40:55Z,2026-03-27T09:51:04Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
