event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00036:1764233536000,anglian:AWS00036,anglian,2025-11-27T08:52:16Z,2025-11-27T08:55:50Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00065:1763841167000,anglian:AWS00065,anglian,2025-11-22T19:52:47Z,2025-11-22T20:16:24Z,24,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00356:1763129192000,anglian:AWS00356,anglian,2025-11-14T14:06:32Z,2025-11-14T20:05:08Z,359,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00373:1761973069000,anglian:AWS00373,anglian,2025-11-01T04:57:49Z,2025-11-01T05:01:38Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00423:1763173363000,anglian:AWS00423,anglian,2025-11-15T02:22:43Z,2025-11-15T02:22:46Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00430:1763172186000,anglian:AWS00430,anglian,2025-11-15T02:03:06Z,2025-11-15T02:16:34Z,13,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00600:1763140284000,anglian:AWS00600,anglian,2025-11-14T17:11:24Z,2025-11-14T20:53:05Z,222,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00705:1763993551000,anglian:AWS00705,anglian,2025-11-24T14:12:31Z,2025-11-24T14:12:44Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00761:1763833497000,anglian:AWS00761,anglian,2025-11-22T17:44:57Z,2025-11-22T22:17:04Z,272,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00798:1763111238000,anglian:AWS00798,anglian,2025-11-14T09:07:18Z,2025-11-15T03:26:08Z,1099,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00902:1763153791000,anglian:AWS00902,anglian,2025-11-14T20:56:31Z,2025-11-14T20:56:43Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00963:1763130137000,anglian:AWS00963,anglian,2025-11-14T14:22:17Z,2025-11-15T04:48:37Z,866,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00992:1763145010000,anglian:AWS00992,anglian,2025-11-14T18:30:10Z,2025-11-15T00:38:06Z,368,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01137:1763853340000,anglian:AWS01137,anglian,2025-11-22T23:15:40Z,2025-11-24T01:24:19Z,1569,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01323:1762171304000,anglian:AWS01323,anglian,2025-11-03T12:01:44Z,2025-11-03T12:02:39Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01328:1763080998000,anglian:AWS01328,anglian,2025-11-14T00:43:18Z,2025-11-15T11:35:59Z,2093,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01445:1763233913000,anglian:AWS01445,anglian,2025-11-15T19:11:53Z,2025-11-15T19:11:57Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01517:1763178245000,anglian:AWS01517,anglian,2025-11-15T03:44:05Z,2025-11-15T03:48:35Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00028:1762995479000,northumbrian:NWL00028,northumbrian,2025-11-13T00:57:59Z,2025-11-13T01:27:59Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00060:1764431279000,northumbrian:NWL00060,northumbrian,2025-11-29T15:47:59Z,2025-11-29T16:03:59Z,16,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00123:1762483199000,northumbrian:NWL00123,northumbrian,2025-11-07T02:39:59Z,2025-11-07T03:57:59Z,78,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00154:1764440519000,northumbrian:NWL00154,northumbrian,2025-11-29T18:21:59Z,2025-11-29T22:23:59Z,242,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00393:1763006279000,northumbrian:NWL00393,northumbrian,2025-11-13T03:57:59Z,2025-11-13T04:01:59Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00417:1763005559000,northumbrian:NWL00417,northumbrian,2025-11-13T03:45:59Z,2025-11-13T03:51:59Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00431:1763024999000,northumbrian:NWL00431,northumbrian,2025-11-13T09:09:59Z,2025-11-13T11:43:59Z,154,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00434:1762073711000,northumbrian:NWL00434,northumbrian,2025-11-02T08:55:11Z,2025-11-03T00:00:30Z,905,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00779:1763028599000,northumbrian:NWL00779,northumbrian,2025-11-13T10:09:59Z,2025-11-13T11:01:59Z,52,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00806:1763520651000,northumbrian:NWL00806,northumbrian,2025-11-19T02:50:51Z,2025-11-19T04:20:05Z,89,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01092:1763027399000,northumbrian:NWL01092,northumbrian,2025-11-13T09:49:59Z,2025-11-13T10:07:59Z,18,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01246:1762989719000,northumbrian:NWL01246,northumbrian,2025-11-12T23:21:59Z,2025-11-12T23:23:59Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01343:1764444599000,northumbrian:NWL01343,northumbrian,2025-11-29T19:29:59Z,2025-11-29T23:49:59Z,260,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01359:1763038555000,northumbrian:NWL01359,northumbrian,2025-11-13T12:55:55Z,2025-11-13T12:57:59Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01375:1763030110000,northumbrian:NWL01375,northumbrian,2025-11-13T10:35:10Z,2025-11-13T13:11:30Z,156,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00053:1762897493000,severn-trent:SVT00053,severn-trent,2025-11-11T21:44:53Z,2025-11-11T22:15:07Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00131:1763150563000,severn-trent:SVT00131,severn-trent,2025-11-14T20:02:43Z,2025-11-14T20:50:00Z,47,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00171:1763140818000,severn-trent:SVT00171,severn-trent,2025-11-14T17:20:18Z,2025-11-14T17:42:59Z,23,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00241:1764328020000,severn-trent:SVT00241,severn-trent,2025-11-28T11:07:00Z,2025-11-28T11:12:49Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00272:1763150658000,severn-trent:SVT00272,severn-trent,2025-11-14T20:04:18Z,2025-11-14T20:41:42Z,37,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00342:1763162379000,severn-trent:SVT00342,severn-trent,2025-11-14T23:19:39Z,2025-11-15T00:25:07Z,65,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00344:1763151048000,severn-trent:SVT00344,severn-trent,2025-11-14T20:10:48Z,2025-11-14T20:38:35Z,28,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00378:1763161554000,severn-trent:SVT00378,severn-trent,2025-11-14T23:05:54Z,2025-11-14T23:08:06Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00388:1763156381000,severn-trent:SVT00388,severn-trent,2025-11-14T21:39:41Z,2025-11-14T22:41:31Z,62,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00472:1764127810000,severn-trent:SVT00472,severn-trent,2025-11-26T03:30:10Z,2025-11-26T03:50:00Z,20,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00507:1763140101000,severn-trent:SVT00507,severn-trent,2025-11-14T17:08:21Z,2025-11-14T19:23:35Z,135,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00530:1763144415000,severn-trent:SVT00530,severn-trent,2025-11-14T18:20:15Z,2025-11-14T22:45:00Z,265,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00682:1763142102000,severn-trent:SVT00682,severn-trent,2025-11-14T17:41:42Z,2025-11-14T18:09:51Z,28,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00788:1762897416000,severn-trent:SVT00788,severn-trent,2025-11-11T21:43:36Z,2025-11-11T22:49:42Z,66,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00885:1763148228000,severn-trent:SVT00885,severn-trent,2025-11-14T19:23:48Z,2025-11-14T19:35:46Z,12,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01169:1762898890000,severn-trent:SVT01169,severn-trent,2025-11-11T22:08:10Z,2025-11-11T23:04:42Z,57,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01177:1763146494000,severn-trent:SVT01177,severn-trent,2025-11-14T18:54:54Z,2025-11-15T04:03:40Z,549,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01235:1762900512000,severn-trent:SVT01235,severn-trent,2025-11-11T22:35:12Z,2025-11-11T22:38:49Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01247:1763142446000,severn-trent:SVT01247,severn-trent,2025-11-14T17:47:26Z,2025-11-14T18:09:09Z,22,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
