event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00221:1751018032000,anglian:AWS00221,anglian,2025-06-27T09:53:52Z,2025-06-27T09:53:56Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00704:1749312371000,anglian:AWS00704,anglian,2025-06-07T16:06:11Z,2025-06-07T16:35:54Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00885:1750240698000,anglian:AWS00885,anglian,2025-06-18T09:58:18Z,2025-06-18T09:58:19Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01338:1749027468000,anglian:AWS01338,anglian,2025-06-04T08:57:48Z,2025-06-04T09:00:01Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01416:1749822035000,anglian:AWS01416,anglian,2025-06-13T13:40:35Z,2025-06-13T13:44:50Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00204:1749298559000,northumbrian:NWL00204,northumbrian,2025-06-07T12:15:59Z,2025-06-07T12:37:59Z,22,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00896:1748965511000,northumbrian:NWL00896,northumbrian,2025-06-03T15:45:11Z,2025-06-03T16:03:44Z,19,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01269:1749399719000,northumbrian:NWL01269,northumbrian,2025-06-08T16:21:59Z,2025-06-08T16:23:59Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00160:1748806215000,severn-trent:SVT00160,severn-trent,2025-06-01T19:30:15Z,2025-06-01T20:05:09Z,35,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00164:1750422839000,severn-trent:SVT00164,severn-trent,2025-06-20T12:33:59Z,2025-06-20T12:36:03Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00236:1749187803000,severn-trent:SVT00236,severn-trent,2025-06-06T05:30:03Z,2025-06-06T06:18:00Z,48,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00670:1749758239000,severn-trent:SVT00670,severn-trent,2025-06-12T19:57:19Z,2025-06-12T20:02:42Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00759:1748830628000,severn-trent:SVT00759,severn-trent,2025-06-02T02:17:08Z,2025-06-02T02:48:57Z,32,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00843:1749603917000,severn-trent:SVT00843,severn-trent,2025-06-11T01:05:17Z,2025-06-11T01:08:44Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01216:1749456254000,severn-trent:SVT01216,severn-trent,2025-06-09T08:04:14Z,2025-06-09T09:20:37Z,76,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01715:1749762819000,severn-trent:SVT01715,severn-trent,2025-06-12T21:13:39Z,2025-06-12T21:22:08Z,8,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01776:1749594300000,severn-trent:SVT01776,severn-trent,2025-06-10T22:25:00Z,2025-06-10T22:42:09Z,17,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT02215:1751262566000,severn-trent:SVT02215,severn-trent,2025-06-30T05:49:26Z,2025-06-30T06:38:08Z,49,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00041:1750850645200,south-west:SBB00041,south-west,2025-06-25T11:24:05Z,2025-06-25T11:28:05Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00068:1749872285170,south-west:SBB00068,south-west,2025-06-14T03:38:05Z,2025-06-14T03:40:05Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00454:1749306693000,south-west:SBB00454,south-west,2025-06-07T14:31:33Z,2025-06-07T14:37:14Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00572:1749953285170,south-west:SBB00572,south-west,2025-06-15T02:08:05Z,2025-06-15T02:10:05Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00045:1749850677000,southern:SWS00045,southern,2025-06-13T21:37:57Z,2025-06-13T23:06:00Z,88,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00107:1749854888000,southern:SWS00107,southern,2025-06-13T22:48:08Z,2025-06-13T23:09:40Z,22,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00321:1749851700000,southern:SWS00321,southern,2025-06-13T21:55:00Z,2025-06-13T22:07:00Z,12,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00328:1749851822000,southern:SWS00328,southern,2025-06-13T21:57:02Z,2025-06-13T22:41:38Z,45,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00413:1749319254000,southern:SWS00413,southern,2025-06-07T18:00:54Z,2025-06-07T20:05:00Z,124,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00542:1749851819000,southern:SWS00542,southern,2025-06-13T21:56:59Z,2025-06-14T00:13:00Z,136,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00707:1749321083000,southern:SWS00707,southern,2025-06-07T18:31:23Z,2025-06-07T21:47:34Z,196,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00753:1749851918000,southern:SWS00753,southern,2025-06-13T21:58:38Z,2025-06-13T22:16:14Z,18,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00804:1750334520000,southern:SWS00804,southern,2025-06-19T12:02:00Z,2025-06-19T12:55:00Z,53,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00819:1749852448000,southern:SWS00819,southern,2025-06-13T22:07:28Z,2025-06-13T22:36:59Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS90118:1749681240000,southern:SWS90118,southern,2025-06-11T22:34:00Z,2025-06-12T00:22:00Z,108,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
united-utilities:UUP00009:1748779320000,united-utilities:UUP00009,united-utilities,2025-06-01T12:02:00Z,2025-06-01T12:06:00Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
united-utilities:UUP00028:1749889800000,united-utilities:UUP00028,united-utilities,2025-06-14T08:30:00Z,2025-06-14T08:34:00Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
