event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
yorkshire:YWS01171:1592182920000,yorkshire:YWS01171,yorkshire,2020-06-15T01:02:00Z,2020-06-15T07:32:00Z,390,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01922:1592294460000,yorkshire:YWS01922,yorkshire,2020-06-16T08:01:00Z,2020-06-16T10:46:00Z,165,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS02194:1592920244000,yorkshire:YWS02194,yorkshire,2020-06-23T13:50:44Z,2020-06-23T21:40:31Z,470,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
