event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00251:1747905538000,anglian:AWS00251,anglian,2025-05-22T09:18:58Z,2025-05-22T09:24:11Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01044:1746606315000,anglian:AWS01044,anglian,2025-05-07T08:25:15Z,2025-05-07T08:25:15Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00238:1747313842000,northumbrian:NWL00238,northumbrian,2025-05-15T12:57:22Z,2025-05-15T12:58:28Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00482:1748059680000,northumbrian:NWL00482,northumbrian,2025-05-24T04:08:00Z,2025-05-24T04:10:00Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01263:1746701983000,northumbrian:NWL01263,northumbrian,2025-05-08T10:59:43Z,2025-05-08T11:00:00Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01471:1748595432000,northumbrian:NWL01471,northumbrian,2025-05-30T08:57:12Z,2025-05-30T09:00:00Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT00589:1748238062000,severn-trent:SVT00589,severn-trent,2025-05-26T05:41:02Z,2025-05-26T05:46:06Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01100:1747018200000,severn-trent:SVT01100,severn-trent,2025-05-12T02:50:00Z,2025-05-12T03:19:26Z,29,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01982:1746091500000,severn-trent:SVT01982,severn-trent,2025-05-01T09:25:00Z,2025-05-02T00:25:05Z,900,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT02309:1746777300000,severn-trent:SVT02309,severn-trent,2025-05-09T07:55:00Z,2025-05-09T09:20:43Z,86,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT02327:1746164620000,severn-trent:SVT02327,severn-trent,2025-05-02T05:43:40Z,2025-05-02T05:46:23Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT02679:1747792526000,severn-trent:SVT02679,severn-trent,2025-05-21T01:55:26Z,2025-05-21T02:24:11Z,29,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00446:1748442000000,southern:SWS00446,southern,2025-05-28T14:20:00Z,2025-05-28T15:26:00Z,66,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00700:1748311804000,southern:SWS00700,southern,2025-05-27T02:10:04Z,2025-05-27T02:22:26Z,12,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00769:1748083632000,southern:SWS00769,southern,2025-05-24T10:47:12Z,2025-05-24T10:53:00Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00918:1748345400000,southern:SWS00918,southern,2025-05-27T11:30:00Z,2025-05-27T11:34:00Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
