event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00286:1738931094000,anglian:AWS00286,anglian,2025-02-07T12:24:54Z,2025-02-07T12:25:13Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00295:1738840250000,anglian:AWS00295,anglian,2025-02-06T11:10:50Z,2025-03-06T21:35:47Z,40945,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00364:1740476343000,anglian:AWS00364,anglian,2025-02-25T09:39:03Z,2025-02-25T09:39:05Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00486:1740696389000,anglian:AWS00486,anglian,2025-02-27T22:46:29Z,2025-02-27T23:15:39Z,29,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00737:1739868756000,anglian:AWS00737,anglian,2025-02-18T08:52:36Z,2025-02-18T08:57:43Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00877:1740664506000,anglian:AWS00877,anglian,2025-02-27T13:55:06Z,2025-02-27T13:58:03Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00936:1740580283000,anglian:AWS00936,anglian,2025-02-26T14:31:23Z,2025-02-26T14:35:23Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS00946:1740576635000,anglian:AWS00946,anglian,2025-02-26T13:30:35Z,2025-02-26T13:30:35Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01365:1739532604000,anglian:AWS01365,anglian,2025-02-14T11:30:04Z,2025-02-14T11:30:04Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01424:1740457573000,anglian:AWS01424,anglian,2025-02-25T04:26:13Z,2025-02-25T04:26:35Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01546:1738768547000,anglian:AWS01546,anglian,2025-02-05T15:15:47Z,2025-02-05T15:15:47Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00461:1739442223000,northumbrian:NWL00461,northumbrian,2025-02-13T10:23:43Z,2025-02-13T10:25:05Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01554:1739887199000,northumbrian:NWL01554,northumbrian,2025-02-18T13:59:59Z,2025-02-18T14:14:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01219:1739351624000,severn-trent:SVT01219,severn-trent,2025-02-12T09:13:44Z,2025-02-12T09:17:37Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
severn-trent:SVT01607:1740137100000,severn-trent:SVT01607,severn-trent,2025-02-21T11:25:00Z,2025-02-21T11:50:00Z,25,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
