event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00052:1704236485000,anglian:AWS00052,anglian,2024-01-02T23:01:25Z,2024-01-03T00:16:28Z,75,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01061:1704927918000,anglian:AWS01061,anglian,2024-01-10T23:05:18Z,2024-04-10T07:41:30Z,130116,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00583:1705635119000,northumbrian:NWL00583,northumbrian,2024-01-19T03:31:59Z,2024-01-19T03:33:59Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01228:1706541299000,northumbrian:NWL01228,northumbrian,2024-01-29T15:14:59Z,2024-01-29T15:29:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01449:1705344299000,northumbrian:NWL01449,northumbrian,2024-01-15T18:44:59Z,2024-01-15T18:59:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00811:1704192881000,south-west:SBB00811,south-west,2024-01-02T10:54:41Z,2024-01-02T10:56:01Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00015:1704390300000,thames:TWL00015,thames,2024-01-04T17:45:00Z,2024-01-04T18:30:00Z,45,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00071:1704431700000,thames:TWL00071,thames,2024-01-05T05:15:00Z,2024-01-05T11:15:00Z,360,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00198:1704394800000,thames:TWL00198,thames,2024-01-04T19:00:00Z,2024-01-04T20:15:00Z,75,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00304:1705068983000,yorkshire:YWS00304,yorkshire,2024-01-12T14:16:23Z,2024-01-12T14:16:47Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00960:1704893940000,yorkshire:YWS00960,yorkshire,2024-01-10T13:39:00Z,2024-01-10T13:47:00Z,8,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00993:1706093553000,yorkshire:YWS00993,yorkshire,2024-01-24T10:52:33Z,2024-01-24T11:04:23Z,12,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01042:1706709720000,yorkshire:YWS01042,yorkshire,2024-01-31T14:02:00Z,2024-01-31T14:13:00Z,11,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01165:1704712200000,yorkshire:YWS01165,yorkshire,2024-01-08T11:10:00Z,2024-01-08T11:14:00Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01206:1704798900000,yorkshire:YWS01206,yorkshire,2024-01-09T11:15:00Z,2024-01-09T11:20:00Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01220:1705899834000,yorkshire:YWS01220,yorkshire,2024-01-22T05:03:54Z,2024-01-22T06:07:14Z,63,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01256:1705497780000,yorkshire:YWS01256,yorkshire,2024-01-17T13:23:00Z,2024-01-17T13:34:00Z,11,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01745:1706522940000,yorkshire:YWS01745,yorkshire,2024-01-29T10:09:00Z,2024-01-29T10:19:00Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
