event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
anglian:AWS00708:1720608304000,anglian:AWS00708,anglian,2024-07-10T10:45:04Z,2024-07-10T10:45:04Z,0,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
anglian:AWS01197:1721083207000,anglian:AWS01197,anglian,2024-07-15T22:40:07Z,2024-07-16T00:00:08Z,80,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00681:1721107184000,northumbrian:NWL00681,northumbrian,2024-07-16T05:19:44Z,2024-07-16T05:29:59Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01100:1722098999000,northumbrian:NWL01100,northumbrian,2024-07-27T16:49:59Z,2024-07-27T17:31:59Z,42,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01141:1720279831000,northumbrian:NWL01141,northumbrian,2024-07-06T15:30:31Z,2024-07-06T15:54:05Z,24,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01163:1721140568000,northumbrian:NWL01163,northumbrian,2024-07-16T14:36:08Z,2024-07-16T14:37:19Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL01556:1721150099000,northumbrian:NWL01556,northumbrian,2024-07-16T17:14:59Z,2024-07-16T17:29:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00008:1721073960000,southern:SWS00008,southern,2024-07-15T20:06:00Z,2024-07-15T20:22:00Z,16,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00032:1720942080000,southern:SWS00032,southern,2024-07-14T07:28:00Z,2024-07-16T20:02:00Z,3634,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00205:1721066040000,southern:SWS00205,southern,2024-07-15T17:54:00Z,2024-07-15T18:37:00Z,43,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00237:1721066694000,southern:SWS00237,southern,2024-07-15T18:04:54Z,2024-07-15T18:36:00Z,31,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00484:1721068200000,southern:SWS00484,southern,2024-07-15T18:30:00Z,2024-07-15T19:38:00Z,68,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00485:1721073960000,southern:SWS00485,southern,2024-07-15T20:06:00Z,2024-07-15T20:12:00Z,6,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00470:1721786968000,yorkshire:YWS00470,yorkshire,2024-07-24T02:09:28Z,2024-07-24T02:10:37Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00843:1720088100000,yorkshire:YWS00843,yorkshire,2024-07-04T10:15:00Z,2024-07-04T10:16:00Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00869:1720554045000,yorkshire:YWS00869,yorkshire,2024-07-09T19:40:45Z,2024-07-09T19:41:29Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01004:1720619269000,yorkshire:YWS01004,yorkshire,2024-07-10T13:47:49Z,2024-07-10T13:48:22Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01344:1719843806000,yorkshire:YWS01344,yorkshire,2024-07-01T14:23:26Z,2024-07-01T14:27:36Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS02001:1721216874000,yorkshire:YWS02001,yorkshire,2024-07-17T11:47:54Z,2024-07-17T11:56:22Z,8,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
