event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
south-west:SBB00675:1631410110000,south-west:SBB00675,south-west,2021-09-12T01:28:30Z,2021-09-12T01:29:01Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB01306:1632707701000,south-west:SBB01306,south-west,2021-09-27T01:55:01Z,2021-09-27T01:58:01Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS02019:1632727020000,yorkshire:YWS02019,yorkshire,2021-09-27T07:17:00Z,2021-09-27T07:31:00Z,14,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
