event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
northumbrian:NWL00261:1712689200000,northumbrian:NWL00261,northumbrian,2024-04-09T19:00:00Z,2024-04-09T19:15:00Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00265:1712419199000,northumbrian:NWL00265,northumbrian,2024-04-06T15:59:59Z,2024-04-06T16:14:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00357:1713530886000,northumbrian:NWL00357,northumbrian,2024-04-19T12:48:06Z,2024-04-19T12:59:59Z,12,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00382:1712664900000,northumbrian:NWL00382,northumbrian,2024-04-09T12:15:00Z,2024-04-09T15:15:00Z,180,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00534:1712669399000,northumbrian:NWL00534,northumbrian,2024-04-09T13:29:59Z,2024-04-09T14:14:59Z,45,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
northumbrian:NWL00546:1712672999000,northumbrian:NWL00546,northumbrian,2024-04-09T14:29:59Z,2024-04-09T14:44:59Z,15,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB01259:1712230594000,south-west:SBB01259,south-west,2024-04-04T11:36:34Z,2024-04-04T11:38:14Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS90094:1714329525000,southern:SWS90094,southern,2024-04-28T18:38:45Z,2024-04-28T21:54:36Z,196,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00193:1712130300000,thames:TWL00193,thames,2024-04-03T07:45:00Z,2024-04-04T01:30:00Z,1065,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00436:1714311900000,thames:TWL00436,thames,2024-04-28T13:45:00Z,2024-04-28T15:00:00Z,75,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00113:1714127980000,yorkshire:YWS00113,yorkshire,2024-04-26T10:39:40Z,2024-04-26T10:44:14Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00500:1712626509000,yorkshire:YWS00500,yorkshire,2024-04-09T01:35:09Z,2024-04-09T03:52:35Z,137,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01005:1714037054000,yorkshire:YWS01005,yorkshire,2024-04-25T09:24:14Z,2024-04-25T09:41:15Z,17,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01120:1713512840000,yorkshire:YWS01120,yorkshire,2024-04-19T07:47:20Z,2024-04-19T08:12:25Z,25,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01248:1713843014000,yorkshire:YWS01248,yorkshire,2024-04-23T03:30:14Z,2024-04-23T03:33:41Z,3,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01252:1713189456000,yorkshire:YWS01252,yorkshire,2024-04-15T13:57:36Z,2024-04-15T14:17:50Z,20,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01747:1712846681000,yorkshire:YWS01747,yorkshire,2024-04-11T14:44:41Z,2024-04-11T14:48:25Z,4,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01754:1713953452000,yorkshire:YWS01754,yorkshire,2024-04-24T10:10:52Z,2024-04-24T10:11:56Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01821:1713436320000,yorkshire:YWS01821,yorkshire,2024-04-18T10:32:00Z,2024-04-18T11:02:00Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01827:1712652960000,yorkshire:YWS01827,yorkshire,2024-04-09T08:56:00Z,2024-04-09T09:06:00Z,10,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01908:1712281500000,yorkshire:YWS01908,yorkshire,2024-04-05T01:45:00Z,2024-04-05T01:46:00Z,1,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01931:1713874500000,yorkshire:YWS01931,yorkshire,2024-04-23T12:15:00Z,2024-04-23T12:22:00Z,7,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS02130:1712750400000,yorkshire:YWS02130,yorkshire,2024-04-10T12:00:00Z,2024-04-10T12:02:00Z,2,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
