event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
northumbrian:NWL00038:1678725540000,northumbrian:NWL00038,northumbrian,2023-03-13T16:39:00Z,2023-03-13T16:47:10Z,8,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB01185:1677859661100,south-west:SBB01185,south-west,2023-03-03T16:07:41Z,2023-03-03T16:14:32Z,7,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00351:1680286500000,thames:TWL00351,thames,2023-03-31T18:15:00Z,2023-03-31T19:00:00Z,45,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
