event_id,overflow_key,company_slug,start_utc,end_utc,duration_min,source,first_observed_utc,last_observed_utc,end_observed
northumbrian:NWL00850:1675164360000,northumbrian:NWL00850,northumbrian,2023-01-31T11:26:00Z,2023-01-31T11:32:30Z,7,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB00555:1675081503140,south-west:SBB00555,south-west,2023-01-30T12:25:03Z,2023-01-30T12:47:56Z,23,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
south-west:SBB01205:1672656162000,south-west:SBB01205,south-west,2023-01-02T10:42:42Z,2023-01-02T11:22:03Z,39,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
southern:SWS00546:1673840820000,southern:SWS00546,southern,2023-01-16T03:47:00Z,2023-01-16T07:40:00Z,233,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
thames:TWL00382:1673892000000,thames:TWL00382,thames,2023-01-16T18:00:00Z,2023-01-16T18:30:00Z,30,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS00934:1673347260000,yorkshire:YWS00934,yorkshire,2023-01-10T10:41:00Z,2023-01-10T10:46:00Z,5,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
yorkshire:YWS01259:1673415060000,yorkshire:YWS01259,yorkshire,2023-01-11T05:31:00Z,2023-01-12T13:17:00Z,1906,hub,2026-09-17T00:49:00Z,2026-09-17T00:49:00Z,true
